Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,CHG_PCT_1D,VOLATILITY_30D
5/27/1929,24.2,24.2,24.2,24.2,-3.66,23.82
5/28/1929,24.59,24.59,24.59,24.59,1.61,24.13
5/29/1929,24.62,24.62,24.62,24.62,0.12,24.08
5/30/1929,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,24.53
5/31/1929,24.83,24.83,24.83,24.83,0.85,24.4
6/3/1929,25.27,25.27,25.27,25.27,1.77,24.98
6/4/1929,25.64,25.64,25.64,25.64,1.46,25.39
6/5/1929,25.59,25.59,25.59,25.59,-0.2,25.36
6/6/1929,25.64,25.64,25.64,25.64,0.2,25.36
6/7/1929,25.53,25.53,25.53,25.53,-0.43,25.39
6/10/1929,25.27,25.27,25.27,25.27,-1.02,25.06
6/11/1929,25.43,25.43,25.43,25.43,0.63,25.14
6/12/1929,25.45,25.45,25.45,25.45,0.08,25.09
6/13/1929,25.84,25.84,25.84,25.84,1.53,25.36
6/14/1929,25.93,25.93,25.93,25.93,0.35,25.39
6/17/1929,26.41,26.41,26.41,26.41,1.85,25.85
6/18/1929,26.42,26.42,26.42,26.42,0.04,25.82
6/19/1929,26.32,26.32,26.32,26.32,-0.38,25.78
6/20/1929,26.47,26.47,26.47,26.47,0.57,25.57
6/21/1929,26.62,26.62,26.62,26.62,0.57,24.13
6/24/1929,26.62,26.62,26.62,26.62,0,23.89
6/25/1929,26.9,26.9,26.9,26.9,1.05,24.01
6/26/1929,27.06,27.06,27.06,27.06,0.59,24.02
6/27/1929,27.11,27.11,27.11,27.11,0.18,24
6/28/1929,27.41,27.41,27.41,27.41,1.11,22.39
7/1/1929,27.77,27.77,27.77,27.77,1.31,22.43
7/2/1929,28.06,28.06,28.06,28.06,1.04,18.62
7/3/1929,28.18,28.18,28.18,28.18,0.43,17.78
7/4/1929,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,17.74
7/5/1929,28.32,28.32,28.32,28.32,0.5,11.63
7/8/1929,28.37,28.37,28.37,28.37,0.18,11.22
7/9/1929,28.28,28.28,28.28,28.28,-0.32,11.46
7/10/1929,28.2,28.2,28.2,28.2,-0.28,11.67
7/11/1929,28.26,28.26,28.26,28.26,0.21,11.48
7/12/1929,28.57,28.57,28.57,28.57,1.1,10.92
7/15/1929,28.45,28.45,28.45,28.45,-0.42,10.73
7/16/1929,28.65,28.65,28.65,28.65,0.7,10.62
7/17/1929,28.72,28.72,28.72,28.72,0.24,10.62
7/18/1929,28.66,28.66,28.66,28.66,-0.21,10.47
7/19/1929,28.76,28.76,28.76,28.76,0.35,9.44
7/22/1929,28.43,28.43,28.43,28.43,-1.15,10.63
7/23/1929,28.83,28.83,28.83,28.83,1.41,11
7/24/1929,28.64,28.64,28.64,28.64,-0.66,10.95
7/25/1929,28.77,28.77,28.77,28.77,0.45,10.95
7/26/1929,28.66,28.66,28.66,28.66,-0.38,10.16
7/29/1929,28.18,28.18,28.18,28.18,-1.67,11.8
7/30/1929,28.5,28.5,28.5,28.5,1.14,11.95
7/31/1929,28.88,28.88,28.88,28.88,1.33,12.34
8/1/1929,29.08,29.08,29.08,29.08,0.69,12.37
8/2/1929,29.56,29.56,29.56,29.56,1.65,12.96
8/5/1929,29.54,29.54,29.54,29.54,-0.07,12.84
8/6/1929,29.43,29.43,29.43,29.43,-0.37,12.99
8/7/1929,29.13,29.13,29.13,29.13,-1.02,13.61
8/8/1929,29.47,29.47,29.47,29.47,1.17,13.64
8/9/1929,28.38,28.38,28.38,28.38,-3.7,17.97
8/12/1929,29.27,29.27,29.27,29.27,3.14,20
8/13/1929,29.53,29.53,29.53,29.53,0.89,20.11
